Activo,gamma_FTP
TRM,1.1258237827145678
TPM,0.08234216398781122
IBR,0.030781215579585623
DTB3,0.01000052749944835
Datos históricos de Organizacion Terpel SA (TPL),1.0796230191731524
Datos históricos de Celsia (CEL),1.0603029309104377
Datos históricos de Nutresa (NCH),1.105775234185874
Datos históricos de Cemargos (CCB),1.0721556155019913
Datos históricos de Grupo Argos (ARG),1.0865382219673612
Datos históricos de Bancolombia Pf (BIC_p1),1.0993741288840626
Datos históricos de Ecopetrol (EC),1.047101572710533
Datos históricos de Interconnection Electric (ISA),1.0921068423865428
Datos históricos de Suramericana (SIS),1.0993742276122629
Datos históricos de Grupo Energia Bogota (GEB),1.047376993721847
