Activo,gamma_GARCH,sigma_last,sigma_mean
TRM,0.3134319439495911,0.5059294165735195,0.7592896717024323
TPM,,0.08828003231730579,0.08814716745613056
IBR,,0.004987442522372399,0.005045849324044257
DTB3,,0.004779877581984727,0.06494091138113552
Datos históricos de Organizacion Terpel SA (TPL),0.010000522560643182,0.022636627991297256,0.0227084574320196
Datos históricos de Celsia (CEL),0.010000385359494105,0.012876772137271342,0.018461382192493412
Datos históricos de Nutresa (NCH),0.010000458029115646,0.09297533915989238,0.031087053024719917
Datos históricos de Cemargos (CCB),0.010000467747996643,0.02470546907608977,0.02105484634185982
Datos históricos de Grupo Argos (ARG),0.010000561750629883,0.015425882169166216,0.024252907274968108
Datos históricos de Bancolombia Pf (BIC_p1),0.010000555637088765,0.018842708306572857,0.017912759811494827
Datos históricos de Ecopetrol (EC),0.010000632003128472,0.017320041930488455,0.022233950934344222
Datos históricos de Interconnection Electric (ISA),0.010000589194024445,0.015534372000888048,0.02309072031859264
Datos históricos de Suramericana (SIS),0.010000551133731467,0.029177702244721004,0.03152607364790272
Datos históricos de Grupo Energia Bogota (GEB),0.010000633884146253,0.011536413912470678,0.01867686763575858
