Activo,gamma_CRRA,vol_hist,precio_promedio,gamma_FTP,gamma_GARCH,sigma_last,sigma_mean
TRM,0.3134319439495911,0.9241708815077012,369350.9321291735,1.1258237827145678,0.3134319439495911,0.5059294165735195,0.7592896717024323
TPM,,0.014707237145811286,8.275328587075576,0.08234216398781122,,0.08828003231730579,0.08814716745613056
IBR,,0.01748139676369559,7.760089198036006,0.030781215579585623,,0.004987442522372399,0.005045849324044257
DTB3,,0.1272023120504607,3.0922400000000003,0.01000052749944835,,0.004779877581984727,0.06494091138113552
Datos históricos de Organizacion Terpel SA (TPL),0.010000522596677608,0.019170514679060634,9314.471931493816,1.0796230191731524,0.010000522560643182,0.022636627991297256,0.0227084574320196
Datos históricos de Celsia (CEL),0.010000385336395743,0.017759265344069873,3784.5427385892117,1.0603029309104377,0.010000385359494105,0.012876772137271342,0.018461382192493412
Datos históricos de Nutresa (NCH),0.010000531579924352,0.03333826723018819,58279.878618113915,1.105775234185874,0.010000458029115646,0.09297533915989238,0.031087053024719917
Datos históricos de Cemargos (CCB),0.010000467774858869,0.021862532672985695,6367.700903861955,1.0721556155019913,0.010000467747996643,0.02470546907608977,0.02105484634185982
Datos históricos de Grupo Argos (ARG),0.010000561685705645,0.024054147742479822,13847.329401853412,1.0865382219673612,0.010000561750629883,0.015425882169166216,0.024252907274968108
Datos históricos de Bancolombia Pf (BIC_p1),0.010000555948207928,0.01761490063544508,33812.37427864798,1.0993741288840626,0.010000555637088765,0.018842708306572857,0.017912759811494827
Datos históricos de Ecopetrol (EC),0.01000063197812306,0.022540564735509822,2319.1959016393444,1.047101572710533,0.010000632003128472,0.017320041930488455,0.022233950934344222
Datos históricos de Interconnection Electric (ISA),0.010000589129858753,0.022752541907234813,19825.96390484003,1.0921068423865428,0.010000589194024445,0.015534372000888048,0.02309072031859264
Datos históricos de Suramericana (SIS),0.010000551275506664,0.028825765407905258,33753.9092495637,1.0993742276122629,0.010000551133731467,0.029177702244721004,0.03152607364790272
Datos históricos de Grupo Energia Bogota (GEB),0.01000063385828554,0.01863388939898468,2342.3584171475677,1.047376993721847,0.010000633884146253,0.011536413912470678,0.01867686763575858
