Activo,gamma_CRRA,CE_CRRA,vol_hist,gamma_FTP,CE_FTP,gamma_GARCH,vol_garch_last,vol_garch_mean,ADF_p,ARCH_LM_p,Ljung_resid_p,Ljung_resid2_p,JarqueBera_p,alpha_plus_beta
TRM,,,0.9241708815077012,,,,,,7.623839162952589e-27,1.5102775691960516e-50,3.41208936176173e-58,1.4953066593151815e-42,0.0,
TPM,,,0.014707237145811286,,,,,,0.0,0.9999996787011972,0.9999996456286392,0.9999997225010722,0.0,0.5796929349357911
IBR,,,0.01748139676369559,,,,,,1.273455917037774e-07,0.9999820612866583,0.9997691669638874,0.9999864432960619,0.0,0.011191065853866585
DTB3,,,0.1272023120504607,,,,,,1.811046305460532e-08,2.511792241307304e-54,1.1332422911151431e-85,1.1396454635796037e-132,0.0,0.9999999986567292
Datos históricos de Organizacion Terpel SA (TPL),,,0.019170514679060634,,,,,,0.0,2.949573175770883e-08,9.238918923508464e-07,1.6135548456020984e-06,1.283498355717328e-273,0.42798968003479887
Datos históricos de Celsia (CEL),,,0.017759265344069873,,,,,,0.0,2.7517537557428475e-09,0.06738467624521992,4.893789215590054e-11,1.6527342338769638e-255,0.9773043404504022
Datos históricos de Nutresa (NCH),,,0.03333826723018819,,,,,,0.0,0.9967439291187443,0.7671227543632207,0.9957236411164667,0.0,1.0
Datos históricos de Cemargos (CCB),,,0.021862532672985695,,,,,,0.0,0.8041235527791264,0.7959255537558709,0.7687372452599549,0.0,0.9659527273516852
Datos históricos de Grupo Argos (ARG),,,0.024054147742479822,,,,,,0.0,0.9999871220517477,0.86522154283192,0.9999853908897537,0.0,0.9887756621609136
Datos históricos de Bancolombia Pf (BIC_p1),,,0.01761490063544508,,,,,,0.0,7.064813388131745e-06,0.2967178256635735,2.967621991009505e-07,1.885065298176811e-38,0.8486212092724547
Datos históricos de Ecopetrol (EC),,,0.022540564735509822,,,,,,0.0,2.185554591617988e-37,0.36028081663235323,5.308997242449512e-57,7.377908397965747e-175,0.9690042596294799
Datos históricos de Interconnection Electric (ISA),,,0.022752541907234813,,,,,,0.0,6.602450600916159e-14,0.14199208793748816,1.3956669486452774e-24,1.6435883225911466e-43,0.9590258305494269
Datos históricos de Suramericana (SIS),,,0.028825765407905258,,,,,,0.0,2.350405472533623e-15,0.09793210239075922,2.2720577693986986e-22,0.0,1.0
Datos históricos de Grupo Energia Bogota (GEB),,,0.01863388939898468,,,,,,0.0,4.673435524434296e-23,0.01888082915781174,1.1211015566835562e-52,1.5507025553036065e-72,0.9895600874741075
